Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,100nF,C41851
C2,1206,1,22uF,C1953590
"C3, C9",C0402,2,100nF,C41851
C4,CAP-TH_BD6.3-P2.50-D1.0-FD,1,220uF,C271305
C5,CAP-TH_L5.5-W3.2-P5.00-D1.0,1,10nF,C162686
C7,CAP-TH_BD8.0-P3.50-D0.6-FD,1,680uf,C89787
D2,LED_D5.0mm,1,LED, C405268
D3,LED_D5.0mm,1,LED, C900118
D4,LED_D5.0mm,1,LED, C72053
D5,D_DO-201AD_P15.24mm_Horizontal,1,1N5822, C2476
F2,F1206,1,JK-NSMD010/60V,C2830236
"J1, J5",PinSocket_1x06_P2.54mm_Vertical,2,Conn_01x06_Pin,C40877
L2,IND-SMD_L7.3-W6.6,1,33uH,C2847546
LED1,LED-ARRAY-SMD_4P-L3.5-W2.8-TL,1,MHPA3528RGBCT,C409779
PS2,IRM055,1,IRM-05-5,
Q1,SOT-23,1,MMBT2222A, C916372
"Q2, Q3",SOT-23,2,MMBT3904, C181119
Q6,TO-220-3_L10.0-W4.5-P2.54-T,1,"BT136-600D,127",C130426
"R1, R16",2512,2,R16K, C25759
"R10, R2",0402,2,R10K,C190095
"R11, R12, R3, R7, R8, R9",0402,6,R1K,C2984405
R13,0402,1,200R, C25087
R14,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,100R,C119469
R18,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,1,360R, C70839
R19,RES-TH_L16.5-W5.9-P7.50-D0.8-S3.00,1,14D471K_C8852,C8852
"R4, R5, R6",0402,3,R220, C25091
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32E,C701342
U2,TO-263-5_TabPin3,1,LM2596S-3.3, C347420
U3,SOP-4_4.4x2.6mm_P1.27mm,1,ACPL-214-500E,C5361360
"U5, U6, U7",CONN-TH_2P-P5.00_DB128V-5.0-2P,3,DB128V-5.0-2P,C395860
U8,DIP-6_L7.3-W6.5-P2.54-LS7.6-BL,1,MOC3021M,C5242
