Designator,Mid X,Mid Y,Rotation,Layer
C1,123.0,-50.5,90.0,top
C2,120.5,-51.5,90.0,top
C3,180.02,-130.67,90.0,top
C4,163.4,-83.62,90.0,top
C5,128.62,-125.78,90.0,top
C7,137.9,-91.16,90.0,top
C9,118.57,-64.99,270.0,top
D2,157.0,-58.0,0.0,top
D3,164.5,-58.0,0.0,top
D4,172.0,-58.0,0.0,top
D5,154.69,-100.8,0.0,top
F2,175.4,-123.84,90.0,top
J1,113.985,-58.225,0.0,top
J5,147.325,-111.025,90.0,top
L2,163.46,-92.06,270.0,top
LED1,97.88,-61.46,180.0,top
PS2,110.09,-106.83,0.0,top
Q1,150.5025,-58.08,180.0,top
Q2,159.465,-75.05,0.0,top
Q3,167.965,-75.0,0.0,top
Q6,96.84,-90.3175,90.0,top
R1,92.55,-73.0,0.0,top
R10,118.59,-61.8075,270.0,top
R11,158.35,-69.76,0.0,top
R12,167.2025,-70.75,0.0,top
R13,111.5,-70.7925,270.0,top
R14,111.5,-90.36,0.0,top
R16,92.63,-81.28,0.0,top
R18,123.9,-83.2,270.0,top
R19,103.3725,-125.5175,0.0,top
R2,104.88,-70.8125,270.0,top
R3,149.51,-61.3,90.0,top
R4,158.8625,-51.33,0.0,top
R5,166.3725,-51.35,0.0,top
R6,172.7,-51.47,180.0,top
R7,102.1075,-63.57,180.0,top
R8,102.1,-61.0,180.0,top
R9,102.06,-58.61,180.0,top
U1,133.75,-58.0,0.0,top
U2,148.21,-84.695,90.0,top
U3,101.7,-76.94,270.0,top
U5,102.74,-135.67,0.0,top
U6,166.73,-132.99,0.0,top
U7,125.7775,-134.9725,0.0,top
U8,115.3,-78.16,270.0,top
